OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,x,y
1,Bushtit,2,No,,,,,,,,,,,,,,,,,,,,,,d786ac9a-8416-4b40-8c91-0936a8a1baba,2/23/2022 3:28:52 PM,ccber_user,2/23/2022 3:28:52 PM,ccber_user,,,,,,,,,,,,,,,,-119.848045497044,34.4108544826683
2,European Starling,2,No,,,,,,,,,,,,,,,,,,,,,,e576b15d-43a6-467f-a1ec-82c577557f3b,2/23/2022 3:31:47 PM,ccber_user,2/23/2022 3:31:47 PM,ccber_user,,,,,,,,,,,,,,,,-119.84753622594,34.4110116554175
3,House Wren,1,No,,,,,,,,,,,,,,,,,,,,,,606a5aa8-4aa6-45b7-9e1c-c75994021352,2/23/2022 3:31:58 PM,ccber_user,2/23/2022 3:31:58 PM,ccber_user,,,,,,,,,,,,,,,,-119.847575836254,34.4107315544238
4,Northern Mockingbird,1,No,,,,,,,,,,,,,,,,,,,,,,3c468411-5110-47f4-bc88-1d299ed81fca,2/23/2022 3:32:31 PM,ccber_user,2/23/2022 3:32:31 PM,ccber_user,,,,,,,,,,,,,,,,-119.8475079335,34.4107595641948
5,Yellow-rumped Warbler,12,No,,,,,,,,,,,,,,,,,,,,,,5e916e8f-6602-4623-98b5-34a11900a3f9,2/23/2022 3:32:51 PM,ccber_user,2/23/2022 3:32:51 PM,ccber_user,,,,,,,,,,,,,,,,-119.847490958036,34.4108902785589
6,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,72de04f7-b71c-492d-ac76-58294d4bcb54,2/23/2022 3:34:29 PM,ccber_user,2/23/2022 3:34:29 PM,ccber_user,,,,,,,,,,,,,,,,-119.847592811718,34.4108529315127
7,Red-tailed Hawk,1,No,,,,,,,,,,,,,,,,,,,,,,225d155a-fd15-4615-9c15-ff338b2101c6,2/23/2022 3:37:48 PM,ccber_user,2/23/2022 3:37:48 PM,ccber_user,,,,,,,,,,,,,,,,-119.847468323186,34.4105308144926
8,White-crowned Sparrow,2,No,,,,,,,,,,,,,,,,,,,,,,295c2034-0cc2-4485-ab5f-73a2da8956b0,2/23/2022 3:38:16 PM,ccber_user,2/23/2022 3:38:16 PM,ccber_user,,,,,,,,,,,,,,,,-119.847849669702,34.4111208607931
9,White-crowned Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,cd141cf0-3daa-465d-8f96-3e581acabfa5,2/23/2022 3:38:39 PM,ccber_user,2/23/2022 3:38:39 PM,ccber_user,,,,,,,,,,,,,,,,-119.847770449972,34.4107427252795
10,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,4c946236-dc0b-4c50-b3cb-8f2b7279aaff,2/23/2022 3:39:09 PM,ccber_user,2/23/2022 3:39:09 PM,ccber_user,,,,,Samsung SM-T713,3.76,3.76,34.4106873666667,-119.847719916667,-33.9,1.1,0.8,0.8,1,,-119.847719917042,34.4106873667936
11,Eared Grebe,1,No,,,,,,,,,,,,,,,,,,,,,,ebaf9f1c-b9a3-4994-ba92-1ae4b07dd4ce,2/23/2022 3:40:01 PM,ccber_user,2/23/2022 3:40:01 PM,ccber_user,,,,,,,,,,,,,,,,-119.847979816722,34.4102385411946
12,American Crow,6,No,,,,,,,,,,,,,,,,,,,,,,2a40b287-773e-42d4-bd25-db89502ff02d,2/23/2022 3:42:07 PM,ccber_user,2/23/2022 3:42:07 PM,ccber_user,,,,,,,,,,,,,,,,-119.848274062588,34.4100004526534
13,Short-billed/Long-billed Dowitcher,1,No,,,,,,,,,,,,,,,,,,,,,,ad3e3026-bced-4535-abf5-e948bf95e3e5,2/23/2022 3:42:40 PM,ccber_user,2/23/2022 3:42:40 PM,ccber_user,,,,,,,,,,,,,,,,-119.84792889033,34.4101825205531
14,Brown Pelican,18,No,,,,,,,,,,,,,,,,,,,,,,21622682-b817-46ae-95f8-08934286b28d,2/23/2022 3:43:46 PM,ccber_user,2/23/2022 3:43:46 PM,ccber_user,,,,,,,,,,,,,,,,-119.848341965342,34.4090639022771
